Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
105,0.62,5.18e-11,6.78e-11,1.16e-10,1.07e-11,1.41e-11,2.02e-11,4.64e-11,6.54e-11,1.03e-10,9.81e-10,9.95e-10,1.03e-09
110,0.62,5.13e-11,6.71e-11,1.15e-10,1.07e-11,1.4e-11,2e-11,4.58e-11,6.43e-11,1.02e-10,9.72e-10,9.86e-10,1.02e-09
115,0.62,5.08e-11,6.63e-11,1.13e-10,1.06e-11,1.39e-11,1.98e-11,4.51e-11,6.32e-11,1e-10,9.63e-10,9.78e-10,1.01e-09
120,0.62,5.02e-11,6.55e-11,1.11e-10,1.06e-11,1.38e-11,1.96e-11,4.45e-11,6.21e-11,9.89e-11,9.55e-10,9.69e-10,1e-09
125,0.62,4.97e-11,6.47e-11,1.1e-10,1.05e-11,1.37e-11,1.94e-11,4.39e-11,6.11e-11,9.75e-11,9.46e-10,9.61e-10,9.96e-10
130,0.62,4.92e-11,6.4e-11,1.08e-10,1.05e-11,1.37e-11,1.92e-11,4.32e-11,6e-11,9.6e-11,9.38e-10,9.52e-10,9.88e-10
-20,0.64,5.84e-11,7.85e-11,1.45e-10,1.13e-11,1.52e-11,2.28e-11,5.91e-11,8.35e-11,1.2e-10,1.1e-09,1.11e-09,1.12e-09
-15,0.64,5.81e-11,7.79e-11,1.44e-10,1.13e-11,1.52e-11,2.27e-11,5.84e-11,8.25e-11,1.18e-10,1.09e-09,1.1e-09,1.11e-09
-10,0.64,5.78e-11,7.73e-11,1.42e-10,1.12e-11,1.51e-11,2.25e-11,5.78e-11,8.16e-11,1.17e-10,1.08e-09,1.09e-09,1.1e-09
-5,0.64,5.74e-11,7.68e-11,1.4e-10,1.12e-11,1.5e-11,2.23e-11,5.72e-11,8.07e-11,1.16e-10,1.07e-09,1.09e-09,1.1e-09
0,0.64,5.71e-11,7.62e-11,1.38e-10,1.11e-11,1.49e-11,2.22e-11,5.66e-11,7.97e-11,1.14e-10,1.06e-09,1.08e-09,1.09e-09
5,0.64,5.67e-11,7.55e-11,1.37e-10,1.11e-11,1.48e-11,2.2e-11,5.6e-11,7.88e-11,1.13e-10,1.06e-09,1.07e-09,1.08e-09
10,0.64,5.64e-11,7.49e-11,1.35e-10,1.1e-11,1.48e-11,2.18e-11,5.53e-11,7.78e-11,1.12e-10,1.05e-09,1.06e-09,1.08e-09
15,0.64,5.6e-11,7.43e-11,1.33e-10,1.1e-11,1.47e-11,2.16e-11,5.47e-11,7.69e-11,1.11e-10,1.04e-09,1.05e-09,1.07e-09
20,0.64,5.56e-11,7.37e-11,1.32e-10,1.1e-11,1.46e-11,2.14e-11,5.41e-11,7.6e-11,1.1e-10,1.03e-09,1.04e-09,1.06e-09
25,0.64,5.53e-11,7.31e-11,1.3e-10,1.09e-11,1.45e-11,2.13e-11,5.35e-11,7.51e-11,1.08e-10,1.02e-09,1.04e-09,1.05e-09
30,0.64,5.49e-11,7.25e-11,1.28e-10,1.09e-11,1.45e-11,2.11e-11,5.29e-11,7.42e-11,1.07e-10,1.01e-09,1.03e-09,1.05e-09
35,0.64,5.45e-11,7.18e-11,1.27e-10,1.08e-11,1.44e-11,2.09e-11,5.23e-11,7.33e-11,1.06e-10,1.01e-09,1.02e-09,1.04e-09
40,0.64,5.41e-11,7.12e-11,1.25e-10,1.08e-11,1.43e-11,2.07e-11,5.17e-11,7.24e-11,1.05e-10,9.98e-10,1.01e-09,1.03e-09
45,0.64,5.37e-11,7.06e-11,1.23e-10,1.07e-11,1.42e-11,2.06e-11,5.11e-11,7.15e-11,1.04e-10,9.9e-10,1e-09,1.03e-09
50,0.64,5.33e-11,6.99e-11,1.22e-10,1.07e-11,1.41e-11,2.04e-11,5.05e-11,7.06e-11,1.03e-10,9.82e-10,9.96e-10,1.02e-09
55,0.64,5.28e-11,6.93e-11,1.2e-10,1.07e-11,1.41e-11,2.02e-11,4.99e-11,6.98e-11,1.02e-10,9.74e-10,9.88e-10,1.01e-09
60,0.64,5.24e-11,6.87e-11,1.19e-10,1.06e-11,1.4e-11,2e-11,4.93e-11,6.89e-11,1.01e-10,9.66e-10,9.8e-10,1e-09
65,0.64,5.2e-11,6.8e-11,1.17e-10,1.06e-11,1.39e-11,1.99e-11,4.87e-11,6.8e-11,1e-10,9.59e-10,9.73e-10,9.97e-10
70,0.64,5.15e-11,6.74e-11,1.16e-10,1.05e-11,1.38e-11,1.97e-11,4.81e-11,6.71e-11,9.94e-11,9.51e-10,9.65e-10,9.91e-10
75,0.64,5.11e-11,6.67e-11,1.14e-10,1.05e-11,1.38e-11,1.95e-11,4.74e-11,6.63e-11,9.86e-11,9.44e-10,9.58e-10,9.84e-10
80,0.64,5.06e-11,6.6e-11,1.13e-10,1.04e-11,1.37e-11,1.94e-11,4.68e-11,6.54e-11,9.78e-11,9.36e-10,9.5e-10,9.77e-10
85,0.64,5.02e-11,6.54e-11,1.11e-10,1.04e-11,1.36e-11,1.92e-11,4.62e-11,6.44e-11,9.69e-11,9.29e-10,9.43e-10,9.7e-10
