Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
55,0.62,4.267e-11,5.445e-11,8.88e-11,8.829e-12,1.14e-11,1.563e-11,3.801e-11,5.1e-11,7.409e-11,6.803e-10,6.803e-10,6.877e-10
60,0.62,4.227e-11,5.388e-11,8.765e-11,8.794e-12,1.134e-11,1.552e-11,3.749e-11,5.02e-11,7.324e-11,6.775e-10,6.775e-10,6.856e-10
65,0.62,4.187e-11,5.332e-11,8.65e-11,8.759e-12,1.129e-11,1.54e-11,3.699e-11,4.941e-11,7.238e-11,6.746e-10,6.746e-10,6.835e-10
70,0.62,4.148e-11,5.274e-11,8.535e-11,8.723e-12,1.123e-11,1.529e-11,3.649e-11,4.864e-11,7.151e-11,6.718e-10,6.718e-10,6.814e-10
75,0.62,4.108e-11,5.217e-11,8.421e-11,8.688e-12,1.117e-11,1.517e-11,3.599e-11,4.787e-11,7.063e-11,6.688e-10,6.688e-10,6.791e-10
80,0.62,4.068e-11,5.16e-11,8.306e-11,8.654e-12,1.111e-11,1.505e-11,3.551e-11,4.711e-11,6.974e-11,6.66e-10,6.66e-10,6.769e-10
85,0.62,4.029e-11,5.103e-11,8.191e-11,8.619e-12,1.106e-11,1.494e-11,3.503e-11,4.636e-11,6.884e-11,6.631e-10,6.631e-10,6.747e-10
90,0.62,3.989e-11,5.046e-11,8.076e-11,8.585e-12,1.1e-11,1.482e-11,3.457e-11,4.563e-11,6.793e-11,6.602e-10,6.602e-10,6.724e-10
95,0.62,3.95e-11,4.989e-11,7.962e-11,8.55e-12,1.094e-11,1.471e-11,3.411e-11,4.491e-11,6.7e-11,6.572e-10,6.572e-10,6.701e-10
100,0.62,3.911e-11,4.933e-11,7.847e-11,8.516e-12,1.088e-11,1.459e-11,3.365e-11,4.421e-11,6.605e-11,6.543e-10,6.543e-10,6.678e-10
105,0.62,3.872e-11,4.876e-11,7.734e-11,8.482e-12,1.083e-11,1.448e-11,3.321e-11,4.351e-11,6.509e-11,6.513e-10,6.513e-10,6.655e-10
110,0.62,3.833e-11,4.82e-11,7.62e-11,8.449e-12,1.077e-11,1.436e-11,3.277e-11,4.282e-11,6.411e-11,6.484e-10,6.484e-10,6.631e-10
115,0.62,3.795e-11,4.764e-11,7.508e-11,8.415e-12,1.071e-11,1.425e-11,3.234e-11,4.215e-11,6.311e-11,6.454e-10,6.454e-10,6.606e-10
120,0.62,3.757e-11,4.708e-11,7.396e-11,8.381e-12,1.066e-11,1.413e-11,3.191e-11,4.148e-11,6.211e-11,6.423e-10,6.423e-10,6.582e-10
125,0.62,3.719e-11,4.653e-11,7.285e-11,8.347e-12,1.06e-11,1.402e-11,3.15e-11,4.083e-11,6.11e-11,6.393e-10,6.393e-10,6.557e-10
130,0.62,3.682e-11,4.598e-11,7.175e-11,8.315e-12,1.055e-11,1.391e-11,3.109e-11,4.018e-11,6.007e-11,6.362e-10,6.362e-10,6.531e-10
-20,0.64,4.501e-11,5.757e-11,9.647e-11,8.932e-12,1.157e-11,1.598e-11,4.343e-11,5.846e-11,7.656e-11,6.634e-10,6.634e-10,6.575e-10
-15,0.64,4.474e-11,5.717e-11,9.547e-11,8.904e-12,1.153e-11,1.59e-11,4.294e-11,5.778e-11,7.616e-11,6.619e-10,6.619e-10,6.57e-10
-10,0.64,4.446e-11,5.676e-11,9.447e-11,8.875e-12,1.148e-11,1.582e-11,4.245e-11,5.709e-11,7.576e-11,6.603e-10,6.603e-10,6.564e-10
-5,0.64,4.417e-11,5.635e-11,9.346e-11,8.847e-12,1.144e-11,1.573e-11,4.196e-11,5.641e-11,7.538e-11,6.587e-10,6.587e-10,6.557e-10
0,0.64,4.387e-11,5.593e-11,9.246e-11,8.818e-12,1.139e-11,1.564e-11,4.147e-11,5.573e-11,7.495e-11,6.57e-10,6.57e-10,6.55e-10
5,0.64,4.357e-11,5.55e-11,9.145e-11,8.787e-12,1.134e-11,1.555e-11,4.098e-11,5.505e-11,7.445e-11,6.552e-10,6.552e-10,6.541e-10
10,0.64,4.325e-11,5.507e-11,9.044e-11,8.757e-12,1.129e-11,1.546e-11,4.049e-11,5.436e-11,7.388e-11,6.534e-10,6.534e-10,6.532e-10
15,0.64,4.293e-11,5.463e-11,8.944e-11,8.727e-12,1.125e-11,1.537e-11,4e-11,5.367e-11,7.327e-11,6.515e-10,6.515e-10,6.522e-10
20,0.64,4.26e-11,5.418e-11,8.843e-11,8.696e-12,1.12e-11,1.528e-11,3.95e-11,5.297e-11,7.263e-11,6.496e-10,6.496e-10,6.512e-10
25,0.64,4.227e-11,5.372e-11,8.742e-11,8.666e-12,1.115e-11,1.519e-11,3.9e-11,5.227e-11,7.198e-11,6.476e-10,6.476e-10,6.501e-10
