Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
40,0.76,2.433e-11,2.916e-11,4.177e-11,6.162e-12,7.412e-12,9.21e-12,2.11e-11,2.596e-11,3.388e-11,3.546e-10,3.471e-10,3.544e-10
45,0.76,2.414e-11,2.891e-11,4.129e-11,6.156e-12,7.401e-12,9.172e-12,2.084e-11,2.559e-11,3.35e-11,3.549e-10,3.474e-10,3.551e-10
50,0.76,2.394e-11,2.865e-11,4.081e-11,6.15e-12,7.388e-12,9.135e-12,2.057e-11,2.523e-11,3.311e-11,3.552e-10,3.476e-10,3.559e-10
55,0.76,2.375e-11,2.839e-11,4.033e-11,6.143e-12,7.377e-12,9.097e-12,2.031e-11,2.486e-11,3.273e-11,3.555e-10,3.479e-10,3.566e-10
60,0.76,2.357e-11,2.814e-11,3.985e-11,6.137e-12,7.366e-12,9.059e-12,2.005e-11,2.449e-11,3.234e-11,3.557e-10,3.48e-10,3.572e-10
65,0.76,2.338e-11,2.788e-11,3.938e-11,6.13e-12,7.354e-12,9.02e-12,1.979e-11,2.413e-11,3.194e-11,3.559e-10,3.482e-10,3.579e-10
70,0.76,2.319e-11,2.762e-11,3.89e-11,6.124e-12,7.343e-12,8.981e-12,1.953e-11,2.376e-11,3.155e-11,3.561e-10,3.484e-10,3.585e-10
75,0.76,2.3e-11,2.737e-11,3.843e-11,6.118e-12,7.332e-12,8.942e-12,1.927e-11,2.34e-11,3.115e-11,3.563e-10,3.485e-10,3.59e-10
80,0.76,2.282e-11,2.712e-11,3.795e-11,6.111e-12,7.32e-12,8.903e-12,1.902e-11,2.303e-11,3.075e-11,3.564e-10,3.486e-10,3.596e-10
85,0.76,2.264e-11,2.686e-11,3.748e-11,6.106e-12,7.309e-12,8.864e-12,1.876e-11,2.266e-11,3.035e-11,3.565e-10,3.487e-10,3.601e-10
90,0.76,2.246e-11,2.661e-11,3.702e-11,6.099e-12,7.297e-12,8.825e-12,1.851e-11,2.23e-11,2.994e-11,3.566e-10,3.487e-10,3.605e-10
95,0.76,2.228e-11,2.636e-11,3.655e-11,6.094e-12,7.287e-12,8.785e-12,1.826e-11,2.194e-11,2.954e-11,3.567e-10,3.488e-10,3.61e-10
100,0.76,2.211e-11,2.611e-11,3.608e-11,6.088e-12,7.276e-12,8.746e-12,1.801e-11,2.157e-11,2.913e-11,3.567e-10,3.488e-10,3.614e-10
105,0.76,2.193e-11,2.587e-11,3.562e-11,6.082e-12,7.266e-12,8.706e-12,1.776e-11,2.121e-11,2.872e-11,3.567e-10,3.488e-10,3.617e-10
110,0.76,2.176e-11,2.562e-11,3.516e-11,6.076e-12,7.255e-12,8.667e-12,1.752e-11,2.085e-11,2.831e-11,3.567e-10,3.487e-10,3.621e-10
115,0.76,2.159e-11,2.538e-11,3.471e-11,6.072e-12,7.245e-12,8.627e-12,1.728e-11,2.05e-11,2.79e-11,3.566e-10,3.486e-10,3.624e-10
120,0.76,2.141e-11,2.514e-11,3.425e-11,6.067e-12,7.236e-12,8.588e-12,1.704e-11,2.015e-11,2.749e-11,3.565e-10,3.485e-10,3.627e-10
125,0.76,2.124e-11,2.489e-11,3.38e-11,6.061e-12,7.227e-12,8.549e-12,1.681e-11,1.981e-11,2.707e-11,3.564e-10,3.484e-10,3.629e-10
130,0.76,2.107e-11,2.466e-11,3.335e-11,6.056e-12,7.218e-12,8.51e-12,1.658e-11,1.947e-11,2.665e-11,3.562e-10,3.482e-10,3.631e-10
-20,0.78,2.564e-11,3.088e-11,4.521e-11,6.141e-12,7.385e-12,9.376e-12,2.346e-11,2.906e-11,3.567e-11,3.352e-10,3.287e-10,3.294e-10
-15,0.78,2.547e-11,3.067e-11,4.478e-11,6.137e-12,7.377e-12,9.347e-12,2.319e-11,2.872e-11,3.548e-11,3.36e-10,3.294e-10,3.307e-10
-10,0.78,2.53e-11,3.044e-11,4.435e-11,6.133e-12,7.37e-12,9.317e-12,2.292e-11,2.838e-11,3.528e-11,3.367e-10,3.301e-10,3.319e-10
-5,0.78,2.512e-11,3.022e-11,4.392e-11,6.129e-12,7.364e-12,9.286e-12,2.265e-11,2.803e-11,3.505e-11,3.374e-10,3.307e-10,3.331e-10
0,0.78,2.494e-11,2.999e-11,4.347e-11,6.125e-12,7.356e-12,9.255e-12,2.239e-11,2.768e-11,3.481e-11,3.381e-10,3.313e-10,3.343e-10
